t_sec,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s
75673.732,-364685.067759183,-130797.825844468,-84113.757539819,0.354981936,-0.825745479,-0.430172206
76273.732,-364471.659160726,-131293.121262838,-84371.762867717,0.356379881,-0.825238941,-0.429845395
76873.732,-364257.412115466,-131788.112204640,-84629.571823233,0.357776758,-0.824730557,-0.429517632
77473.732,-364042.327265193,-132282.797562049,-84887.183835557,0.359172564,-0.824220327,-0.429188918
78073.732,-363826.405253345,-132777.176228296,-85144.598334515,0.360567296,-0.823708253,-0.428859254
78673.732,-363609.646725003,-133271.247097669,-85401.814750568,0.361960952,-0.823194338,-0.428528642
79273.732,-363392.052326890,-133765.009065516,-85658.832514810,0.363353528,-0.822678582,-0.428197081
79873.732,-363173.622707370,-134258.461028242,-85915.651058972,0.364745023,-0.822160988,-0.427864575
80473.732,-362954.358516441,-134751.601883317,-86172.269815422,0.366135433,-0.821641557,-0.427531123
81073.732,-362734.260405735,-135244.430529273,-86428.688217166,0.367524755,-0.821120291,-0.427196726
81673.732,-362513.329028517,-135736.945865706,-86684.905697847,0.368912987,-0.820597192,-0.426861386
82273.732,-362291.565039679,-136229.146793280,-86940.921691748,0.370300127,-0.820072262,-0.426525103
82873.732,-362068.969095739,-136721.032213728,-87196.735633792,0.371686170,-0.819545502,-0.426187880
83473.732,-361845.541854841,-137212.601029849,-87452.346959542,0.373071116,-0.819016914,-0.425849716
84073.732,-361621.283976745,-137703.852145518,-87707.755105202,0.374454961,-0.818486501,-0.425510613
84673.732,-361396.196122832,-138194.784465680,-87962.959507619,0.375837702,-0.817954263,-0.425170572
85273.732,-361170.278956099,-138685.396896354,-88217.959604281,0.377219336,-0.817420203,-0.424829594
85873.732,-360943.533141155,-139175.688344638,-88472.754833323,0.378599862,-0.816884322,-0.424487680
86473.732,-360715.959344219,-139665.657718703,-88727.344633520,0.379979276,-0.816346622,-0.424144831
87073.732,-360487.558233118,-140155.303927804,-88981.728444294,0.381357575,-0.815807106,-0.423801049
87673.732,-360258.330477282,-140644.625882273,-89235.905705714,0.382734758,-0.815265774,-0.423456334
