API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Mon Jul 13 01:50:41 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2026-Apr-02 01:00:00.0000 TDB
Stop  time      : A.D. 2026-Apr-11 00:30:00.0000 TDB
Step-size       : 10 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.260710.p261006
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-JUL-10. PREDICTS-> 2026-OCT-05
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
2461133.166666667, A.D. 2026-Apr-02 16:00:00.0000, -3.728828605279700E+05, -1.097353029106930E+05, -7.310786262416076E+04,  2.953406127296584E-01, -8.453291106429467E-01, -4.430249557450229E-01,
2461133.173611111, A.D. 2026-Apr-02 16:10:00.0000, -3.727052240305711E+05, -1.102423722522099E+05, -7.337359187823009E+04,  2.967808873487855E-01, -8.449017078607662E-01, -4.427390585733182E-01,
2461133.180555556, A.D. 2026-Apr-02 16:20:00.0000, -3.725267236529463E+05, -1.107491845764259E+05, -7.363914929545305E+04,  2.982202129941360E-01, -8.444723865786800E-01, -4.424521664232069E-01,
2461133.187500000, A.D. 2026-Apr-02 16:30:00.0000, -3.723473599653588E+05, -1.112557387327314E+05, -7.390453427914162E+04,  2.996585867364898E-01, -8.440411484320512E-01, -4.421642802915694E-01,
2461133.194444444, A.D. 2026-Apr-02 16:40:00.0000, -3.721671335398281E+05, -1.117620335714991E+05, -7.416974623320630E+04,  3.010960056509276E-01, -8.436079950593475E-01, -4.418754011767889E-01,
2461133.201388889, A.D. 2026-Apr-02 16:50:00.0000, -3.719860449501275E+05, -1.122680679440857E+05, -7.443478456215709E+04,  3.025324668168319E-01, -8.431729281021260E-01, -4.415855300787458E-01,
2461133.208333333, A.D. 2026-Apr-02 17:00:00.0000, -3.718040947717809E+05, -1.127738407028337E+05, -7.469964867110440E+04,  3.039679673178904E-01, -8.427359492050300E-01, -4.412946679988137E-01,
2461133.215277778, A.D. 2026-Apr-02 17:10:00.0000, -3.716212835820614E+05, -1.132793507010733E+05, -7.496433796575986E+04,  3.054025042420974E-01, -8.422970600157750E-01, -4.410028159398525E-01,
2461133.222222222, A.D. 2026-Apr-02 17:20:00.0000, -3.714376119599873E+05, -1.137845967931243E+05, -7.522885185243729E+04,  3.068360746817558E-01, -8.418562621851410E-01, -4.407099749062040E-01,
2461133.229166667, A.D. 2026-Apr-02 17:30:00.0000, -3.712530804863208E+05, -1.142895778342979E+05, -7.549318973805352E+04,  3.082686757334797E-01, -8.414135573669633E-01, -4.404161459036875E-01,
