t_sec,phase,orion_x,orion_y,orion_z,moon_x,moon_y,moon_z,orion_vx,orion_vy,orion_vz
18799.591,EarthOrbit,-29527.327296021,-52934.598218027,-28643.548990113,-381019.581,-82632.247,-58851.652,0.436659084212,-1.275304150844,-0.687590760896
19039.591,EarthOrbit,-29421.410230226,-53238.658365606,-28807.481581001,-380967.148,-82839.855,-58961.239,0.445959282244,-1.258547333699,-0.678523351425
19140.880,EarthOrbit,-29376.042625964,-53365.778588944,-28876.015476714,-380945.020,-82927.473,-59007.489,0.449841700678,-1.251505546987,-0.674712973184
19380.880,EarthOrbit,-29266.985825746,-53664.144148685,-29036.866671399,-380892.428,-83135.046,-59117.051,0.458941938114,-1.234890410285,-0.665722496239
19620.880,EarthOrbit,-29155.761416704,-53958.533703046,-29195.566465394,-380839.638,-83342.576,-59226.582,0.467905658651,-1.218371740334,-0.656784401547
19860.880,EarthOrbit,-29042.401770782,-54248.970098129,-29352.127264409,-380786.849,-83550.106,-59336.114,0.476736110541,-1.201946998521,-0.647897311349
20100.880,EarthOrbit,-28926.938494081,-54535.475578377,-29506.561147633,-380733.722,-83757.562,-59445.592,0.485436428352,-1.185613709230,-0.639059882150
20340.880,EarthOrbit,-28809.402453560,-54818.071801401,-29658.879875792,-380680.577,-83965.014,-59555.067,0.494009637847,-1.169369457404,-0.630270803387
20580.880,EarthOrbit,-28689.823802587,-55096.779852232,-29809.094898901,-380627.272,-84172.430,-59664.517,0.502458660603,-1.153211886207,-0.621528796165
20820.880,EarthOrbit,-28568.232005413,-55371.620257019,-29957.217363720,-380573.770,-84379.803,-59773.936,0.510786318390,-1.137138694788,-0.612832612030
21060.880,EarthOrbit,-28444.655860624,-55642.612996213,-30103.258120914,-380520.268,-84587.176,-59883.355,0.518995337323,-1.121147636141,-0.604181031815
21300.880,EarthOrbit,-28319.123523620,-55909.777517238,-30247.227731952,-380466.429,-84794.474,-59992.721,0.527088351804,-1.105236515049,-0.595572864512
21540.880,EarthOrbit,-28191.662528175,-56173.132746682,-30389.136475731,-380412.571,-85001.767,-60102.083,0.535067908258,-1.089403186118,-0.587006946208
21780.880,EarthOrbit,-28062.299807122,-56432.697102028,-30528.994354957,-380358.554,-85209.025,-60211.420,0.542936468686,-1.073645551889,-0.578482139057
22020.880,EarthOrbit,-27931.061712205,-56688.488502940,-30666.811102284,-380304.340,-85416.239,-60320.726,0.550696414039,-1.057961561028,-0.569997330291
22260.880,EarthOrbit,-27797.974033142,-56940.524382121,-30802.596186216,-380250.126,-85623.453,-60430.031,0.558350047419,-1.042349206585,-0.561551431281
22500.880,EarthOrbit,-27663.062015945,-57188.821695766,-30936.358816788,-380195.576,-85830.590,-60539.283,0.565899597131,-1.026806524326,-0.553143376623
22740.880,EarthOrbit,-27526.350380516,-57433.396933617,-31068.107951041,-380141.006,-86037.724,-60648.532,0.573347219581,-1.011331591127,-0.544772123265
22980.880,EarthOrbit,-27387.863337569,-57674.266128645,-31197.852298281,-380086.278,-86244.821,-60757.755,0.580695002032,-0.995922523433,-0.536436649675
23220.880,EarthOrbit,-27247.624604910,-57911.444866370,-31325.600325147,-380031.353,-86451.874,-60866.946,0.587944965232,-0.980577475774,-0.528135955025
23460.880,EarthOrbit,-27105.657423095,-58144.948293821,-31451.360260486,-379976.428,-86658.927,-60976.138,0.595099065913,-0.965294639338,-0.519869058422
23700.880,EarthOrbit,-26961.984570507,-58374.791128177,-31575.140100048,-379921.167,-86865.902,-61085.275,0.602159199172,-0.950072240598,-0.511634998159
23940.880,EarthOrbit,-26816.628377875,-58600.987665071,-31696.947611003,-379865.886,-87072.874,-61194.409,0.609127200740,-0.934908539986,-0.503432830994
24180.880,EarthOrbit,-26669.610742258,-58823.551786586,-31816.790336289,-379810.448,-87279.809,-61303.517,0.616004849146,-0.919801830619,-0.495261631458
24420.880,EarthOrbit,-26520.953140525,-59042.496968953,-31934.675598800,-379754.812,-87486.699,-61412.593,0.622793867777,-0.904750437074,-0.487120491188
